Datetime,Open,High,Low,Close,Volume
2023-08-11 09:30:00,443.97,444.16,443.35,444.08,3295516
2023-08-11 09:35:00,444.07,444.64,444.02,444.34,1204259
2023-08-11 09:40:00,444.33,444.47,443.59,443.91,945163
2023-08-11 09:45:00,443.92,444.13,443.5,443.9,637149
2023-08-11 09:50:00,443.9,444.27,443.7,444.04,534524
2023-08-11 09:55:00,444.04,444.32,443.99,444.15,640232
2023-08-11 10:00:00,444.17,445.47,444.17,445.14,2038988
2023-08-11 10:05:00,445.14,445.41,444.85,445.05,1003708
2023-08-11 10:10:00,445.07,445.6,444.57,445.44,1224183
2023-08-11 10:15:00,445.43,445.99,445.37,445.83,1152737
2023-08-11 10:20:00,445.83,446.67,445.83,446.46,1510036
2023-08-11 10:25:00,446.46,446.49,445.95,446.05,951749
2023-08-11 10:30:00,446.06,446.26,445.67,445.68,573567
2023-08-11 10:35:00,445.68,446.48,445.52,446.39,824216
2023-08-11 10:40:00,446.39,446.7,446.02,446.17,1030872
2023-08-11 10:45:00,446.16,446.3,445.85,446.05,537528
2023-08-11 10:50:00,446.06,446.06,445.21,445.28,716716
2023-08-11 10:55:00,445.28,445.65,445.18,445.28,474161
2023-08-11 11:00:00,445.28,445.64,445.27,445.52,505085
2023-08-11 11:05:00,445.53,445.57,445.0,445.12,414130
2023-08-11 11:10:00,445.11,445.16,444.62,444.73,510243
2023-08-11 11:15:00,444.73,444.77,444.45,444.71,850301
2023-08-11 11:20:00,444.7,444.99,444.49,444.59,601822
2023-08-11 11:25:00,444.57,444.83,444.44,444.58,612602
2023-08-11 11:30:00,444.57,444.82,444.31,444.4,679098
2023-08-11 11:35:00,444.41,444.96,444.39,444.64,635118
2023-08-11 11:40:00,444.62,444.81,444.41,444.79,515657
2023-08-11 11:45:00,444.79,444.91,444.51,444.59,421636
2023-08-11 11:50:00,444.59,444.66,444.38,444.55,500061
2023-08-11 11:55:00,444.55,445.37,444.45,445.32,777207
2023-08-11 12:00:00,445.31,445.56,445.13,445.37,594400
2023-08-11 12:05:00,445.39,445.78,445.33,445.41,549879
2023-08-11 12:10:00,445.41,445.75,445.26,445.7,408444
2023-08-11 12:15:00,445.7,445.92,445.49,445.49,679972
2023-08-11 12:20:00,445.49,445.63,445.24,445.29,368856
2023-08-11 12:25:00,445.29,445.33,444.72,445.08,605426
2023-08-11 12:30:00,445.08,445.32,445.08,445.3,539111
2023-08-11 12:35:00,445.27,445.34,444.85,444.86,368190
2023-08-11 12:40:00,444.86,444.95,444.61,444.62,396311
2023-08-11 12:45:00,444.64,444.79,444.51,444.6,414302
2023-08-11 12:50:00,444.6,444.81,444.48,444.66,394402
2023-08-11 12:55:00,444.66,444.74,444.48,444.7,363292
2023-08-11 13:00:00,444.72,445.13,444.67,444.98,759542
2023-08-11 13:05:00,444.58,444.98,444.44,444.58,609591
2023-08-11 13:10:00,444.58,444.8,444.51,444.64,383164
2023-08-11 13:15:00,444.64,444.96,444.58,444.82,363358
2023-08-11 13:20:00,444.82,445.09,444.81,444.94,363793
2023-08-11 13:25:00,444.94,445.52,444.93,445.43,507611
2023-08-11 13:30:00,445.44,445.57,445.3,445.32,479551
2023-08-11 13:35:00,445.34,445.48,445.07,445.27,494824
2023-08-11 13:40:00,445.27,445.4,444.73,444.87,537899
2023-08-11 13:45:00,444.86,444.9,444.52,444.7,576320
2023-08-11 13:50:00,444.71,444.77,444.48,444.69,389866
2023-08-11 13:55:00,444.66,445.01,444.45,444.95,522910
2023-08-11 14:00:00,445.04,445.3,444.84,445.11,716838
2023-08-11 14:05:00,445.11,445.48,445.11,445.13,492853
2023-08-11 14:10:00,445.14,445.27,444.99,445.17,462789
2023-08-11 14:15:00,445.19,445.54,445.1,445.45,465889
2023-08-11 14:20:00,445.45,445.65,445.12,445.59,525079
2023-08-11 14:25:00,445.6,445.94,445.6,445.65,867241
2023-08-11 14:30:00,445.66,446.24,445.66,445.72,869358
2023-08-11 14:35:00,445.73,445.94,445.39,445.93,934119
2023-08-11 14:40:00,445.93,446.05,445.62,445.75,442020
2023-08-11 14:45:00,445.76,446.07,445.72,445.99,643194
2023-08-11 14:50:00,445.98,446.12,445.84,446.0,350026
2023-08-11 14:55:00,445.99,446.22,445.93,446.05,741933
2023-08-11 15:00:00,446.05,446.11,445.55,445.86,1148719
2023-08-11 15:05:00,445.87,445.93,445.28,445.29,544359
2023-08-11 15:10:00,445.29,445.6,445.17,445.48,698057
2023-08-11 15:15:00,445.47,445.8,445.37,445.7,449767
2023-08-11 15:20:00,445.7,445.93,445.52,445.89,462065
